ID,po_ID,product_ID,quantity,unitPrice,totalPrice,currency_code,receivedQty,notes
20974223-650b-48c9-b154-65a3c94f68af,438244ba-bf45-465d-9e4e-26a5d3f65cfc,98420990-f2fd-43bd-ab18-a04254269693,47,26077875.41,5467888666.72,204,51,notes-2097422
2097423c-3414-4c8d-944b-164c5adbbee9,438244ba-bf45-465d-9e4e-26a5d3f65cfc,98420990-f2fd-43bd-ab18-a04254269693,63,2145588.04,205567345.69,204,85,notes-2097423
85987514-7009-43bd-b606-fe8626ea6579,4382458a-9dd2-40ab-ba41-d1f0b24f2228,98420990-f2fd-43bd-ab18-a04254269693,4,27953375.18,9618555096.6,204,26,notes-8598751
8598752e-2420-43dd-ae2a-4524d934e2bf,4382458a-9dd2-40ab-ba41-d1f0b24f2228,98420990-f2fd-43bd-ab18-a04254269693,89,63495700.57,3610091424.93,204,40,notes-8598752
663663d4-5384-42af-9a78-f44d2b283b01,438246d1-ae96-4ed3-a2c7-51cab61d0fe6,98420990-f2fd-43bd-ab18-a04254269693,23,10335511.56,8550357488.28,204,86,notes-663663
66366433-94fd-4002-b1b4-64786d7292a5,438246d1-ae96-4ed3-a2c7-51cab61d0fe6,98420990-f2fd-43bd-ab18-a04254269693,52,25262708.98,5746546749.11,204,95,notes-663664
1505476a-2cd7-4e90-96aa-d39080d374f6,43824741-dab1-45b4-8342-001cc8c9ced5,98420990-f2fd-43bd-ab18-a04254269693,5,73171686.92,877497972.75,204,30,notes-1505476
15054771-7966-407b-b4e8-e9591615382b,43824741-dab1-45b4-8342-001cc8c9ced5,98420990-f2fd-43bd-ab18-a04254269693,61,79826660.55,420225008.18,204,47,notes-1505477
28338637-97cd-436b-b0a8-5f5ff152921e,4382485e-c01b-400c-b388-4b7638fa4de4,98420990-f2fd-43bd-ab18-a04254269693,74,38186352.92,4455916009.19,204,43,notes-28338637
28338638-a78a-4190-9e63-3e901a33eed0,4382485e-c01b-400c-b388-4b7638fa4de4,98420990-f2fd-43bd-ab18-a04254269693,16,52051928.54,8198096638.3,204,53,notes-28338638
7976094f-de6e-4958-a5f8-9c5eb040fc4f,4382499a-3e2f-4aa5-8ce0-475e06b89aa8,98420990-f2fd-43bd-ab18-a04254269693,32,86850490.42,1473163095.46,204,32,notes-7976094
7976095e-a2b3-47fe-bda2-114c659aeaf0,4382499a-3e2f-4aa5-8ce0-475e06b89aa8,98420990-f2fd-43bd-ab18-a04254269693,21,11939234.88,373783672.99,204,12,notes-7976095
20098311-b276-467f-85f5-c76fc2fed8b1,438250c8-a3dd-4fdc-8fe8-fdce6ebfb9ee,98420990-f2fd-43bd-ab18-a04254269693,84,57195511.93,13598496.75,204,4,notes-20098311
20098312-7c83-4850-b4c2-6031e347bb39,438250c8-a3dd-4fdc-8fe8-fdce6ebfb9ee,98420990-f2fd-43bd-ab18-a04254269693,81,2124968.23,6307597861.19,204,82,notes-20098312
16255177-a8e8-45c6-9e73-619389c78033,438251b1-7480-4335-9f27-dc162b7f7112,98420990-f2fd-43bd-ab18-a04254269693,53,69202238.31,3480994456.38,204,73,notes-16255177
16255178-cf3e-4790-a4f1-c5b5d298d70c,438251b1-7480-4335-9f27-dc162b7f7112,98420990-f2fd-43bd-ab18-a04254269693,57,67039227.48,8446228127.38,204,85,notes-16255178
48478006-49b0-4d90-9ad5-7592d4d8407b,43825282-77c1-4a49-b986-c12bf3e51e2f,98420990-f2fd-43bd-ab18-a04254269693,46,55572000.9,9024581524.06,204,49,notes-4847800
48478013-c282-418e-84a8-857fae4d8cfe,43825282-77c1-4a49-b986-c12bf3e51e2f,98420990-f2fd-43bd-ab18-a04254269693,91,207451.75,4596241099.72,204,35,notes-4847801
66479336-8e2e-4a53-968e-8d238ae36b4c,43825335-462e-44fe-bb0c-6e8c293ffd0d,98420990-f2fd-43bd-ab18-a04254269693,66,50171024.68,2796822036,204,37,notes-6647933
66479347-200f-49fb-a6c7-8e6d6ecbd95b,43825335-462e-44fe-bb0c-6e8c293ffd0d,98420990-f2fd-43bd-ab18-a04254269693,96,4806299.18,6379983970.52,204,3,notes-6647934
