ID,supplierName,contactPerson,email,phone,city,rating,isActive,createdAt,createdBy,modifiedAt,modifiedBy
6240324a-e51c-463a-a454-5daf21c52ec7,supplierName-6240324,contactPerson-6240324,email-6240324,phone-6240324,city-6240324,3.9,true,2019-07-26T00:00:00.000Z,createdBy.3pr2c@example.com,2001-04-14T00:00:00.000Z,modifiedBy.3pr2c@example.org
2035369c-c8b8-4d0d-8bca-3c123d5ef003,supplierName-2035369,contactPerson-2035369,email-2035369,phone-2035369,city-2035369,5.8,false,2004-02-06T00:00:00.000Z,createdBy.17mi1@example.com,2021-02-27T00:00:00.000Z,modifiedBy.17mi1@example.org
20353701-3d8b-410d-8fd2-a78a79d0eb33,supplierName-2035370,contactPerson-2035370,email-2035370,phone-2035370,city-2035370,3.6,true,2004-05-21T00:00:00.000Z,createdBy.17mi2@example.org,2010-02-19T00:00:00.000Z,modifiedBy.17mi2@example.net
2035371d-7c8a-4d85-9e6c-59f5752eaef2,supplierName-2035371,contactPerson-2035371,email-2035371,phone-2035371,city-2035371,8,false,2015-12-07T00:00:00.000Z,createdBy.17mi3@example.net,2003-01-15T00:00:00.000Z,modifiedBy.17mi3@example.com
20353729-3be7-44e0-bf38-562ef8461888,supplierName-2035372,contactPerson-2035372,email-2035372,phone-2035372,city-2035372,3.2,true,2007-09-21T00:00:00.000Z,createdBy.17mi4@example.org,2002-08-23T00:00:00.000Z,modifiedBy.17mi4@example.net
20353738-7574-4a4b-bb9f-a10a9b46898b,supplierName-2035373,contactPerson-2035373,email-2035373,phone-2035373,city-2035373,1,false,2011-06-02T00:00:00.000Z,createdBy.17mi5@example.net,2020-05-03T00:00:00.000Z,modifiedBy.17mi5@example.com
20353746-f121-42b6-b49b-e94e9f75b9ea,supplierName-2035374,contactPerson-2035374,email-2035374,phone-2035374,city-2035374,0.4,true,2017-05-28T00:00:00.000Z,createdBy.17mi6@example.org,2007-10-17T00:00:00.000Z,modifiedBy.17mi6@example.org
2035375a-4b63-43c4-ac04-834db5b211d7,supplierName-2035375,contactPerson-2035375,email-2035375,phone-2035375,city-2035375,9.1,false,2018-10-31T00:00:00.000Z,createdBy.17mi7@example.org,2001-08-25T00:00:00.000Z,modifiedBy.17mi7@example.com
2035376e-cc6e-4bdc-89f3-b67454e3b1e5,supplierName-2035376,contactPerson-2035376,email-2035376,phone-2035376,city-2035376,4.8,true,2006-08-30T00:00:00.000Z,createdBy.17mi8@example.org,2003-10-22T00:00:00.000Z,modifiedBy.17mi8@example.com
20353775-eaa4-4d1b-9a10-7808c2891eca,supplierName-2035377,contactPerson-2035377,email-2035377,phone-2035377,city-2035377,6.3,false,2019-09-24T00:00:00.000Z,createdBy.17mi9@example.com,2004-10-26T00:00:00.000Z,modifiedBy.17mi9@example.net
