ID,productName,description,unitPrice,currency_code,stock,minStock,unit,supplier_ID,isActive,createdAt,createdBy,modifiedAt,modifiedBy
98420990-f2fd-43bd-ab18-a04254269693,productName-9842099,description-9842099,99770008.08,204,41,64,it-9842099,6240324a-e51c-463a-a454-5daf21c52ec7,false,2003-11-25T00:00:00.000Z,createdBy.5uy7n@example.com,2021-12-09T00:00:00.000Z,modifiedBy.5uy7n@example.net
1394305c-788e-4757-ab62-2716be031db0,productName-1394305,description-1394305,78995625.91,018,91,64,it-1394305,20353775-eaa4-4d1b-9a10-7808c2891eca,false,2020-01-01T00:00:00.000Z,createdBy.tvup@example.net,2007-09-18T00:00:00.000Z,modifiedBy.tvup@example.org
13943061-33bb-4316-a905-5a4323f01bba,productName-1394306,description-1394306,86516337.26,018,9,16,it-1394306,20353775-eaa4-4d1b-9a10-7808c2891eca,true,2017-09-17T00:00:00.000Z,createdBy.tvuq@example.org,2011-06-05T00:00:00.000Z,modifiedBy.tvuq@example.com
13943077-d4b1-4b1e-8727-50819c11e316,productName-1394307,description-1394307,82615444.47,018,85,21,it-1394307,20353775-eaa4-4d1b-9a10-7808c2891eca,false,2015-03-04T00:00:00.000Z,createdBy.tvur@example.net,2005-01-15T00:00:00.000Z,modifiedBy.tvur@example.net
1394308a-1291-42c2-8b6f-a43fdf683938,productName-1394308,description-1394308,8764.24,018,57,16,it-1394308,20353775-eaa4-4d1b-9a10-7808c2891eca,true,2018-03-29T00:00:00.000Z,createdBy.tvus@example.net,2020-01-18T00:00:00.000Z,modifiedBy.tvus@example.org
13943092-1381-4999-986a-5040e74ba3b1,productName-1394309,description-1394309,76313653.63,018,92,82,it-1394309,20353775-eaa4-4d1b-9a10-7808c2891eca,false,2014-07-01T00:00:00.000Z,createdBy.tvut@example.org,2006-12-28T00:00:00.000Z,modifiedBy.tvut@example.com
1394310f-98f3-4f26-a160-d8a87c7e7c3b,productName-1394310,description-1394310,45428862.79,018,28,36,it-1394310,20353775-eaa4-4d1b-9a10-7808c2891eca,true,2014-10-17T00:00:00.000Z,createdBy.tvuu@example.org,2000-02-04T00:00:00.000Z,modifiedBy.tvuu@example.org
13943115-116e-4d3e-a60d-72409f129397,productName-1394311,description-1394311,46633933.79,018,24,34,it-1394311,20353775-eaa4-4d1b-9a10-7808c2891eca,false,2003-11-27T00:00:00.000Z,createdBy.tvuv@example.com,2007-02-05T00:00:00.000Z,modifiedBy.tvuv@example.net
13943125-97e9-4fc5-adcf-47ac7862e33d,productName-1394312,description-1394312,15726146.99,018,35,70,it-1394312,20353775-eaa4-4d1b-9a10-7808c2891eca,true,2023-01-28T00:00:00.000Z,createdBy.tvuw@example.net,2020-08-22T00:00:00.000Z,modifiedBy.tvuw@example.com
13943131-251a-4174-ab7d-ba357a9f5b70,productName-1394313,description-1394313,47325577.36,018,14,89,it-1394313,20353775-eaa4-4d1b-9a10-7808c2891eca,false,2012-12-28T00:00:00.000Z,createdBy.tvux@example.com,2009-03-22T00:00:00.000Z,modifiedBy.tvux@example.net
